Rank,Run_Date,Symbol,Name,Score,RSI,MACD_Signal,Above_50SMA,Price
2,2026-04-24,QCOM,QUALCOMM Incorporated,6.0,73.4,Bullish,Yes,148.85
3,2026-04-24,TXN,Texas Instruments Incorporated,6.0,83.6,Bullish,Yes,277.14
4,2026-04-24,JPM,JP Morgan Chase & Co.,6.0,55.3,Bullish,Yes,308.28
5,2026-04-24,AAPL,Apple Inc.,5.5,59.7,Bullish,Yes,271.06
1,2026-04-28,AMAT,"Applied Materials, Inc.",6.0,61.6,Bullish,Yes,404.86
2,2026-04-28,TXN,Texas Instruments Incorporated,6.0,76.5,Bullish,Yes,269.5
3,2026-04-28,JPM,JP Morgan Chase & Co.,6.0,58.7,Bullish,Yes,311.63
4,2026-04-28,WMT,Walmart Inc.,6.0,52.6,Bullish,Yes,127.59
5,2026-04-28,MSFT,Microsoft Corporation,5.5,63.6,Bullish,Yes,424.82
1,2026-04-29,PG,Procter & Gamble Company (The),6.5,59.0,Bullish,Yes,149.17
2,2026-04-29,AVGO,Broadcom Inc.,6.0,62.3,Bullish,Yes,399.83
3,2026-04-29,TXN,Texas Instruments Incorporated,6.0,72.6,Bullish,Yes,265.0
4,2026-04-29,SNPS,"Synopsys, Inc.",6.0,63.4,Bullish,Yes,483.89
5,2026-04-29,JPM,JP Morgan Chase & Co.,6.0,58.4,Bullish,Yes,311.45
1,2026-04-30,TXN,Texas Instruments Incorporated,6.0,74.0,Bullish,Yes,269.22
2,2026-04-30,AVGO,Broadcom Inc.,6.0,64.2,Bullish,Yes,405.45
3,2026-04-30,SNPS,"Synopsys, Inc.",6.0,62.3,Bullish,Yes,481.22
4,2026-04-30,QCOM,QUALCOMM Incorporated,6.0,78.4,Bullish,Yes,156.0
5,2026-04-30,MSFT,Microsoft Corporation,5.5,61.8,Bullish,Yes,424.46
